Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR5104211,differentiation day 14,miRNA-Seq,50,543648850,PRJNA357267,SAMN06140166,231791645,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420113,GSM2427929,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427929,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104212,differentiation day 14,miRNA-Seq,50,561650700,PRJNA357267,SAMN06140164,241989482,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420114,GSM2427930,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427930,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104213,differentiation day 14,miRNA-Seq,50,356554750,PRJNA357267,SAMN06140167,151871697,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420115,GSM2427931,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427931,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104214,differentiation day 21,miRNA-Seq,50,322102450,PRJNA357267,SAMN06140165,138881576,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420116,GSM2427932,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427932,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104215,differentiation day 21,miRNA-Seq,50,385427350,PRJNA357267,SAMN06140173,164510438,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420117,GSM2427933,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427933,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104216,differentiation day 21,miRNA-Seq,50,509093100,PRJNA357267,SAMN06140175,208805861,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420118,GSM2427934,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427934,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104217,differentiation day 21,miRNA-Seq,50,362560550,PRJNA357267,SAMN06140176,152447583,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420119,GSM2427935,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427935,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104218,differentiation day 28,miRNA-Seq,50,455777450,PRJNA357267,SAMN06140174,192545923,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420120,GSM2427936,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427936,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104219,differentiation day 28,miRNA-Seq,50,472811100,PRJNA357267,SAMN06140171,199340502,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420121,GSM2427937,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427937,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104220,differentiation day 28,miRNA-Seq,50,665116100,PRJNA357267,SAMN06140172,277805872,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420122,GSM2427938,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427938,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104221,differentiation day 28,miRNA-Seq,50,547123300,PRJNA357267,SAMN06140170,228636055,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420123,GSM2427939,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427939,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104222,differentiation day 35,miRNA-Seq,50,348644150,PRJNA357267,SAMN06140178,150811774,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420124,GSM2427940,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427940,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104223,differentiation day 35,miRNA-Seq,50,365323650,PRJNA357267,SAMN06140179,157552263,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX2420125,GSM2427941,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427941,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104224,differentiation day 35,miRNA-Seq,50,223714250,PRJNA357267,SAMN06140180,99172492,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420126,GSM2427942,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427942,Retinal epithelial cells,SRP095037,Retinal epithelial cells
SRR5104225,differentiation day 35,miRNA-Seq,50,367350750,PRJNA357267,SAMN06140177,155608868,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX2420127,GSM2427943,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-21T00:00:00Z,GSM2427943,Retinal epithelial cells,SRP095037,Retinal epithelial cells
